url,flag,name
https://piratpartiet.se, &#x1F1F8;&#x1F1EA;, Piratpartiet
https://piratar.is/, &#x1F1EE;&#x1F1F8;, Píratapartýið
https://www.piratenpartei.de/,&#x1F1E9;&#x1F1EA;, Piratenpartei
https://www.pirati.cz/, &#x1F1E8;&#x1F1FF;, Pirátská Strana
